PROLIFIC_PID,Answer.text,AwareResponse,recoded,awarenext.keys,awarenext.rt,Awareness.thisRepN,Awareness.thisTrialN,Awareness.thisN,Awareness.thisIndex,Awareness.ran,AwareQuestion,AwareAnswer
6110be101c5d8d4d444ca863,n,n,n,space,11.723,0,0,0,0,1,"Do you think ""high"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
6110be101c5d8d4d444ca863,n,n,k,space,8.4992,0,1,1,1,1,What do you think the word is? Type in your answer in the textbox,fair
6110be101c5d8d4d444ca863,n,n,n,space,5.583,0,2,2,2,1,"Do you think ""even"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
6110be101c5d8d4d444ca863,n,n,k,space,1.3151,0,3,3,3,1,What do you think the word was? Type your answer,warm
6110be101c5d8d4d444ca863,n,n,n,space,20.9097,0,4,4,4,1,"Do you think ""warm"" mostly appeared in a particular colour?. If yes, then type ""y"", ""n"" for no and if you don't know type ""k"".",y
6110be101c5d8d4d444ca863,green,green,u,space,9.7597,0,5,5,5,1,"Which colour almost always occurred with ""warm""? Type the response key you pressed for that particular colour",e
6110be101c5d8d4d444ca863,n,n,n,space,4.4494,0,6,6,6,1,"Do you think ""fair"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
6110be101c5d8d4d444ca863,red,red,e,space,2.348,0,7,7,7,1,"Which colour almost always occurred with ""fair""?  Type the response key you pressed for that particular colour",u
6110be101c5d8d4d444ca863,n,n,n,space,2.4825,0,8,8,8,1,"Do you think ""high"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
6110be101c5d8d4d444ca863,red,red,e,space,5.406,0,9,9,9,1,"Which colour almost always occurred with ""high""?  Type the response key you pressed for that particular colour",u
6110be101c5d8d4d444ca863,n,n,n,space,1.3744,0,10,10,10,1,"Do you think ""even"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
6110be101c5d8d4d444ca863,green,green,u,space,1.7707,0,11,11,11,1,"Which colour almost always occurred with ""even""? Type the response key you pressed for that particular colour",e
612d9dd386a8449802fba920,y,y,y,space,13.187,0,0,0,0,1,"Do you think ""high"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
